         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400   11.249    0.028   23.624    0.059 perf_lec_rm_renew.py:20(making_f)
  4508863   10.609    0.000   10.609    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   230000    5.512    0.000    8.394    0.000 {method 'choice' of 'mtrand.RandomState' objects}
      400    2.701    0.007   11.001    0.028 perf_lec_rm_renew.py:63(teaching)
  4270424    2.077    0.000   12.987    0.000 {method 'sum' of 'numpy.ndarray' objects}
  4270424    1.247    0.000   10.910    0.000 _methods.py:31(_sum)
   230000    0.866    0.000    1.880    0.000 fromnumeric.py:2388(prod)
   460000    0.409    0.000    0.538    0.000 getlimits.py:96(__new__)
      400    0.394    0.001    1.839    0.005 perf_lec_rm_renew.py:36(choosing)
   230091    0.365    0.000    0.365    0.000 {built-in method numpy.core.multiarray.arange}
   230000    0.249    0.000    0.464    0.000 numerictypes.py:728(issubdtype)
        1    0.190    0.190    0.190    0.190 {built-in method matplotlib._png.write_png}
      400    0.172    0.000    0.344    0.001 perf_lec_rm_renew.py:22(<listcomp>)
    40/39    0.163    0.004    0.166    0.004 {built-in method _imp.create_dynamic}
      400    0.154    0.000    0.298    0.001 perf_lec_rm_renew.py:23(<listcomp>)
   464690    0.117    0.000    0.121    0.000 {method 'get' of 'dict' objects}
460649/460595    0.116    0.000    0.117    0.000 {built-in method builtins.issubclass}
   230000    0.099    0.000    0.170    0.000 numerictypes.py:660(issubclass_)
   230000    0.096    0.000    1.014    0.000 _methods.py:34(_prod)
      259    0.068    0.000    0.068    0.000 {built-in method marshal.loads}
    13924    0.035    0.000    0.035    0.000 {built-in method numpy.core.multiarray.array}
      190    0.035    0.000    0.035    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     7337    0.032    0.000    0.047    0.000 weakref.py:102(__init__)
    40762    0.030    0.000    0.030    0.000 {method 'reshape' of 'numpy.ndarray' objects}
1113/1060    0.029    0.000    0.073    0.000 {built-in method builtins.__build_class__}
        4    0.028    0.007   36.496    9.124 perf_lec_rm_renew.py:77(simulate)
     2222    0.028    0.000    0.028    0.000 {built-in method numpy.core.multiarray.dot}
    27690    0.024    0.000    0.024    0.000 __init__.py:934(__getitem__)
      588    0.019    0.000    0.236    0.000 lines.py:297(__init__)
       90    0.018    0.000    0.024    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
21636/19207    0.018    0.000    0.028    0.000 artist.py:268(stale)
     1403    0.016    0.000    0.016    0.000 {built-in method posix.stat}
     3011    0.016    0.000    0.042    0.000 path.py:212(_update_values)
     2616    0.014    0.000    0.152    0.000 markers.py:199(_recache)
36007/36005    0.014    0.000    0.018    0.000 {built-in method builtins.isinstance}
     7334    0.013    0.000    0.060    0.000 transforms.py:87(__init__)
    283/1    0.013    0.000   38.086   38.086 {built-in method builtins.exec}
     3011    0.011    0.000    0.064    0.000 path.py:103(__init__)
     1214    0.011    0.000    0.017    0.000 artist.py:95(__init__)
     5053    0.011    0.000    0.011    0.000 {built-in method builtins.max}
     7337    0.011    0.000    0.013    0.000 weakref.py:288(update)
      136    0.010    0.000    0.010    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
3205/1445    0.010    0.000    0.033    0.000 transforms.py:139(_invalidate_internal)
     4413    0.009    0.000    0.019    0.000 weakref.py:242(values)
     2342    0.009    0.000    0.009    0.000 {built-in method numpy.core.multiarray.zeros}
43792/43619    0.008    0.000    0.009    0.000 {built-in method builtins.len}
    13118    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
      259    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     5664    0.008    0.000    0.053    0.000 transforms.py:1662(__init__)
        2    0.007    0.004    0.031    0.015 machar.py:116(_do_init)
    26468    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
      548    0.007    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      136    0.007    0.000    0.007    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1064    0.006    0.000    0.009    0.000 twodim_base.py:139(eye)
     4326    0.006    0.000    0.009    0.000 cbook.py:682(is_string_like)
      316    0.006    0.000    0.021    0.000 lines.py:670(recache)
      160    0.006    0.000    0.083    0.001 text.py:739(draw)
     8579    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
     3358    0.006    0.000    0.006    0.000 {built-in method numpy.core.multiarray.empty}
      152    0.006    0.000    0.062    0.000 lines.py:769(draw)
     1308    0.006    0.000    0.092    0.000 markers.py:248(set_marker)
      104    0.006    0.000    0.006    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3618    0.006    0.000    0.025    0.000 fromnumeric.py:1866(any)
  230/100    0.005    0.000    0.014    0.000 sre_parse.py:469(_parse)
      562    0.005    0.000    0.012    0.000 inspect.py:2065(_signature_from_function)
     2657    0.005    0.000    0.012    0.000 weakref.py:165(__setitem__)
      259    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      493    0.005    0.000    0.027    0.000 font_manager.py:674(__init__)
    21704    0.005    0.000    0.005    0.000 artist.py:734(get_animated)
     9824    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
     2219    0.005    0.000    0.038    0.000 transforms.py:1808(__init__)
       23    0.004    0.000    0.023    0.001 __init__.py:1060(_rc_params_in_file)
     3850    0.004    0.000    0.010    0.000 artist.py:326(pchanged)
     1648    0.004    0.000    0.016    0.000 transforms.py:163(set_children)
     5354    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1006264e0}
      161    0.004    0.000    0.006    0.000 sre_compile.py:250(_optimize_charset)
  844/516    0.004    0.000    0.021    0.000 transforms.py:2392(get_affine)
      523    0.004    0.000    0.019    0.000 inspect.py:1052(getfullargspec)
      259    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
  188/156    0.004    0.000    0.342    0.002 axis.py:67(__init__)
     1445    0.004    0.000    0.037    0.000 transforms.py:128(invalidate)
     1056    0.004    0.000    0.015    0.000 artist.py:851(update)
      296    0.004    0.000    0.033    0.000 text.py:329(_get_layout)
      846    0.004    0.000    0.006    0.000 font_manager.py:720(__hash__)
     1035    0.003    0.000    0.052    0.000 transforms.py:1972(scale)
     2707    0.003    0.000    0.005    0.000 _weakrefset.py:26(__exit__)
     4013    0.003    0.000    0.006    0.000 six.py:580(iteritems)
     2657    0.003    0.000    0.003    0.000 weakref.py:339(__init__)
     6169    0.003    0.000    0.020    0.000 numeric.py:463(asarray)
      476    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     5670    0.003    0.000    0.005    0.000 core.py:6064(isMaskedArray)
     2897    0.003    0.000    0.006    0.000 cbook.py:673(iterable)
     2372    0.003    0.000    0.040    0.000 re.py:286(_compile)
      848    0.003    0.000    0.003    0.000 {built-in method builtins.print}
2608/1850    0.003    0.000    0.299    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
     3289    0.003    0.000    0.021    0.000 {method 'all' of 'numpy.ndarray' objects}
      316    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap>:861(_find_spec)
   396/93    0.003    0.000    0.013    0.000 sre_compile.py:64(_compile)
     2869    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1064    0.003    0.000    0.014    0.000 numeric.py:2390(identity)
    10757    0.003    0.000    0.005    0.000 mathtext.py:2765(<genexpr>)
      404    0.003    0.000    0.017    0.000 text.py:189(__init__)
